Case_ID,Attack_Type,Country,Region,Location,Victim_Name,Injury,Fatal,original order,Ages,Dates,Days,Months,Years,Sex_U,Sex_M,Activities,Species_Shark,long_shark
2017.05.06,Unprovoked,Mexico,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Andres Rozada,FATAL,Y,6084.0,33,05-05-2017,5.0,5.0,2017.0,M,M,snorkeling,Unknown,Unknown
2017.05.03,Invalid,United States,California,"Sunset Beach, Orange County",Sophia Raab,"Laceration to thigh, likely caused by surfboard fin",N,6083.0,18,03-05-2017,3.0,5.0,2017.0,F,F,surfing,Unknown,Unknown
2017.04.29.d,Unprovoked,United States,California,"San Onofre, San Diego County ",Leeanne Ericson,Major injury to posterior thigh,N,6082.0,27,29-04-2017,29.0,4.0,2017.0,F,F,unknown,Unknown,Unknown
2017.04.29.c,Unprovoked,South Africa,Western Cape Province,"Keurbooms, Plettenberg Bay",male,Minor injury to right calf,N,6081.0,14,29-04-2017,29.0,4.0,2017.0,M,M,surfing,Unknown,Unknown
2017.04.29.b,Unprovoked,United States,South Carolina,"Folly Beach, Charleston County",Holly Dyar,Left foot bitten,N,6080.0,33,29-04-2017,29.0,4.0,2017.0,F,F,surfing,Unknown,Unknown
2017.04.29.a,Unprovoked,Reunion,Saint-Leu,Pointe au Sal,Adrien Dubosc,FATAL,Y,6079.0,28,29-04-2017,29.0,4.0,2017.0,M,M,boarding,Unknown,Unknown
2017.04.27,Unprovoked,New Zealand,South Island,"Porpoise Bay, Catlins",female,Puncture wounds & laceration above knee,N,6078.0,24,27-04-2017,27.0,4.0,2017.0,F,F,boarding,Unknown,Unknown
2017.04.26,Invalid,United States,Florida,"New Smyrna Beach, Volusia County",Molly Cavelli,Alleged laceration to left ankle,Unknown,6077.0,27,26-04-2017,26.0,4.0,2017.0,F,F,photography/filming,Unknown,Unknown
2017.04.22,Unprovoked,St Helena British Overseas Territory,Ascension Island,English Bay,Frankie Gonsalves,Calf & foot bitten,N,6076.0,40,22-04-2017,22.0,4.0,2017.0,F,F,snorkeling,Unknown,Unknown
2017.04.20,Invalid,United States,South Carolina,Georgetown County,male,Laceration & puncture wounds to left foot,N,6075.0,27,20-04-2017,20.0,4.0,2017.0,M,M,swimming,Unknown,Unknown
2017.04.17.b,Unprovoked,United States,Florida,"Daytona Beach, Volusia County",,Minor bite to the foot,N,6074.0,27,17-04-2017,17.0,4.0,2017.0,Unknown,M,unknown,Unknown,Unknown
2017.04.17.a,Unprovoked,Australia,Western Australia,Kelpies near Wylie Bay,Laeticia Brouwer,FATAL,Y,6073.0,17,17-04-2017,17.0,4.0,2017.0,F,F,surfing,White Shark,Unknown
2017.04.14,Unprovoked,United States,Hawaii,"Kekaha Beach, Kauai",Baboo,Lower right leg severely injured,N,6072.0,28,14-04-2017,14.0,4.0,2017.0,M,M,surfing,Tiger Shark,3.66
2017.04.13,Unprovoked,United States,Florida,"Hanna Park, Jacksonville, Duval County",Keeanan Perry ,Lacerations to right foot,N,6071.0,17,13-04-2017,13.0,4.0,2017.0,M,M,surfing,Unknown,Unknown
2017.04.12.b,Unprovoked,United States,Florida,St. Augustine,Kerry Keyton,Lacerations to right foot,N,6070.0,27,12-04-2017,12.0,4.0,2017.0,F,F,surfing,Unknown,Unknown
2017.04.12.a,Invalid,South Africa,KwaZulu-Natal,Protea Banks,male,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",Unknown,6069.0,68,12-04-2017,12.0,4.0,2017.0,M,M,diving,Unknown,Unknown
2017.04.11,Unprovoked,United States,Florida,"Ormond Beach, Volusia County",Denise Holz-Oosterveld,Calf bitten,N,6068.0,35,11-04-2017,11.0,4.0,2017.0,F,F,surfing,Unknown,Unknown
2017.04.10.b,Unprovoked,United States,Florida,"Melbourne Beach, Brevard County",female,Laceration to calf,N,6067.0,10,10-04-2017,10.0,4.0,2017.0,F,F,boarding,Unknown,Unknown
2017.04.10.a,Unprovoked,United States,Florida,"Melbourne Beach, Brevard County",Heather Orr,Minor injury to hand,N,6066.0,21,10-04-2017,10.0,4.0,2017.0,F,F,swimming,Unknown,Unknown
2017.04.06,Unprovoked,United States,Florida,"Daytona, Volusia County",Kody Stephens,Foot injured,N,6065.0,16,06-04-2017,6.0,4.0,2017.0,M,M,swimming,Unknown,Unknown
2017.04.05,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",Melanie Lawson,"Thigh nipped, minor injury",N,6064.0,51,05-04-2017,5.0,4.0,2017.0,F,F,swimming,Unknown,Unknown
2017.04.02.b,Unprovoked,Australia,Queensland,Moreton Bay,Gavin Kleiden,"No injury, shark bit off stern of kayak",N,6063.0,39,02-04-2017,2.0,4.0,2017.0,M,M,kayaking,Unknown,Unknown
2017.04.02.a,Unprovoked,United States,Florida,"Destin, Okaloosa County",Caitlyn Taylor,Abrasions to lower left leg & puncture wounds to right leg,N,6062.0,17,02-04-2017,2.0,4.0,2017.0,F,F,swimming,Shark,1.52
2017.03.27,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",Robert Nesbit,Minor injury to left foot,N,6061.0,58,27-03-2017,27.0,3.0,2017.0,M,M,surfing,Unknown,Unknown
2017.03.19,Unprovoked,Australia,New South Wales,The Farm,Gonzalo Fernandez,Minor,N,6060.0,30,19-03-2017,19.0,3.0,2017.0,M,M,boarding,Unknown,Unknown
2017.03.18,Unprovoked,United States,California,Monterey Bay,Brian Correira,"No injury, kayak bitten",N,6059.0,27,18-03-2017,18.0,3.0,2017.0,M,M,kayaking,White Shark,Unknown
2017.03.09,Unprovoked,Bahamas,Great Exuma,Unknown,George Keywood,Abrasions & lacerations to left leg and hand,N,6058.0,58,09-03-2017,9.0,3.0,2017.0,M,M,other,Lemon Shark,Unknown
2017.02.25,Unprovoked,Australia,Western Australia,Mauds Point,female,Hand bitten,N,6057.0,27,25-02-2017,25.0,2.0,2017.0,F,F,snorkeling,Bull Shark,Unknown
2017.02.24,Unprovoked,Australia,Western Australia,"Falcon Bay Beach, Mandurah",male,"No injury, shark struck board",N,6056.0,27,24-02-2017,24.0,2.0,2017.0,M,M,surfing,Unknown,Unknown
2017.02.21,Unprovoked,Reunion,Saint-Andre,Unknown,Alexandre Naussance,Fatal,Y,6055.0,26,21-02-2017,21.0,2.0,2017.0,M,M,boarding,Unknown,Unknown
2017.02.17,Unprovoked,Australia,Queensland,Eva Rock,Glenn Dickson,Left leg severely bitten,N,6054.0,26,17-02-2017,17.0,2.0,2017.0,M,M,fishing,Unknown,Unknown
2017.02.11,Unprovoked,United States,Florida,"Melbourne Beach, Brevard County",male,Injury to hand,N,6053.0,22,11-02-2017,11.0,2.0,2017.0,M,M,swimming,Unknown,Unknown
2017.02.06.b,Provoked,Brazil,Pernambuco,Fernando de Noronha Marine Park,female,"Minor injury to finger, PROVOKED INCIDENT",N,6052.0,27,06-02-2017,6.0,2.0,2017.0,F,F,other,Lemon Shark,Unknown
2017.02.06.a,Boat,South Africa,KwaZulu-Natal,Eastmoor Crescent Beach,Owen McMillan,"Shark damaged kayak, no injury to occupant",N,6051.0,27,06-02-2017,6.0,2.0,2017.0,M,M,kayaking,Tiger Shark,Unknown
2017.02.01.b,Boat,United States,South Carolina,16 miles off Hilton Head,Chip Michelove & crew,"Shark bit boat, no injury to occupants",N,6050.0,27,01-02-2017,1.0,2.0,2017.0,Unknown,M,photography/filming,White Shark,4.27
2017.02.01.a,Unprovoked,Bahamas,Bimini,Unknown,Freek Vonk,Lacerations to upper right arm,N,6049.0,37,01-02-2017,1.0,2.0,2017.0,M,M,diving,Caribbean Reef Shark,Unknown
2017.01.22,Unprovoked,United States,Florida,"Vero Beach, Indian River County",male,Puncture wounds to lower arm or hand,N,6048.0,16,22-01-2017,22.0,1.0,2017.0,M,M,unknown,Unknown,Unknown
2017.01.21,Unprovoked,Australia,Queensland,"Boot Reef, Torres Strait",Craig de Wit,"Multiple injuries to arm, wrist and torso",N,6047.0,55,21-01-2017,21.0,1.0,2017.0,M,M,diving,Bull Shark,4.0
2017.01.13.b,Unprovoked,Australia,Queensland,Clairview,,Injury to hand,N,6046.0,57,13-01-2017,13.0,1.0,2017.0,M,M,swimming,Unknown,Unknown
2017.01.13.a,Unprovoked,United States,Florida,Jensen Beach,a lifeguard,Minor injury to hand,N,6045.0,27,13-01-2017,13.0,1.0,2017.0,M,M,unknown,Unknown,Unknown
2017.01.09,Unprovoked,Indonesia,Bali,Balian Beach,Daniel Moore,Injury to right wrist & forearm,N,6044.0,48,09-01-2017,9.0,1.0,2017.0,M,M,surfing,Bull Shark,1.0
2017.01.08.R,Invalid,Australia,Queensland,Brisbane River,Kerry Daniel,"No attack, shark made a threat display",Unknown,6043.0,35,08-01-2017,8.0,1.0,2017.0,M,M,fishing,Bull Shark,Unknown
2017.01.05,Unprovoked,United States,Florida,"Blockhouse Beach, Brevard County",male,Minor injuries to foot,N,6042.0,47,05-01-2017,5.0,1.0,2017.0,M,M,standing/wading,Unknown,Unknown
2017.01.03,Invalid,Australia,New South Wales,Merimbula,Mitchell Collins,Minor injuries to foot & toes,N,6041.0,20,03-01-2017,3.0,1.0,2017.0,M,M,standing/wading,Unknown,Unknown
2016.12.27,Unprovoked,United States,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Zack Davis,Lacerations to right forearm,N,6040.0,16,27-12-2016,27.0,12.0,2016.0,M,M,surfing,Unknown,Unknown
2016.12.24,Unprovoked,Australia,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",female,Buttock bitten,N,6039.0,27,24-12-2016,24.0,12.0,2016.0,F,F,snorkeling,A Small Shark,Unknown
2016.12.19,Unprovoked,South Africa,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",Ben Swart,"No injury, but ski severely damaged",N,6038.0,55,19-12-2016,19.0,12.0,2016.0,M,M,surfing,White Shark,4.0
2016.12.14,Unprovoked,Australia,Western Australia,Trigg Beach,Tim Roberts,Punctures to left foot/ankle,N,6037.0,61,14-12-2016,14.0,12.0,2016.0,M,M,diving,Unknown,Unknown
2016.12.11,Invalid,United States,Florida,"New Smyrna Beach, Volusia County",Shane Garthwait,Cuts to right ankle & foot,N,6036.0,19,11-12-2016,11.0,12.0,2016.0,M,M,surfing,Unknown,Unknown
2016.12.10,Unprovoked,England,Suffolk,Felixstowe,Christopher Mills,"No injury, board bitten",N,6035.0,36,10-12-2016,10.0,12.0,2016.0,M,M,other,Unknown,Unknown
2016.12.06,Provoked,Australia,New South Wales,Merimbula,Jesse Phillips,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,6034.0,20,06-12-2016,6.0,12.0,2016.0,M,M,other,Wobbegong Shark,2.0
2016.12.01,Unprovoked,Australia,New South Wales,Booti Booti National Park,Colin Rowland,Injuries to foot & arm,N,6033.0,65,01-12-2016,1.0,12.0,2016.0,M,M,surfing,White Shark,Unknown
2016.11.28,Provoked,Australia,Victoria,Queenscliff,Rod McFarlane,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,6032.0,73,28-11-2016,28.0,11.0,2016.0,M,M,fishing,Broadnose Sevengill Shark,1.5
2016.11.14,Unprovoked,United States,Hawaii,"Kamaole Beach Park I, Maui",Barbara Zawacki,Injuries to right calf and thigh,N,6031.0,58,14-11-2016,14.0,11.0,2016.0,F,F,other,Tiger Shark,Unknown
2016.10.30,Unprovoked,United States,Florida,"Mayport Naval Station Beach, Duval County",Daniel Adams,Lacerations to right foot and ankle,N,6030.0,41,30-10-2016,30.0,10.0,2016.0,M,M,surfing,Unknown,Unknown
2016.10.29,Unprovoked,United States,Florida,Mayport Naval Station  Duval County,Derrick Shoup,Lacerations to right hand,N,6029.0,42,29-10-2016,29.0,10.0,2016.0,M,M,surfing,Unknown,Unknown
2016.10.24,Unprovoked,Australia,New South Wales,Broken Head Beach,Jade Fitzpatrick,Lacerations to left thigh,N,6028.0,36,24-10-2016,24.0,10.0,2016.0,M,M,surfing,Unknown,Unknown
2016.10.21,Unprovoked,United States,Hawaii,"Hooipa Beach Park, Maui",Federico Jaime,Left arm and leg injured,N,6027.0,36,21-10-2016,21.0,10.0,2016.0,M,M,surfing,Shark,1.83
2016.10.15,Unprovoked,Australia,Queensland,"Kings Beach, Caloundra",Cooper Hallam,Torso nipped,N,6026.0,27,15-10-2016,15.0,10.0,2016.0,M,M,surfing,Unknown,Unknown
2016.10.14,Unprovoked,United States,Hawaii,"Charlie Young Beach, Kihei, Maui",female,Injuries to left calf,N,6025.0,66,14-10-2016,14.0,10.0,2016.0,F,F,snorkeling,Unknown,Unknown
2016.10.13.R,Invalid,Mexico,Baja California,Guadalupe Island,Ming Chan,"Shark breached cage, no injury to diver",N,6024.0,27,13-10-2016,13.0,10.0,2016.0,M,M,other,White Shark,Unknown
2016.10.12,Unprovoked,Australia,New South Wales,"Sharpes Beach, Ballina",Seneca Rus,Minor wound to lower right leg & surfboard bitten,N,6023.0,25,12-10-2016,12.0,10.0,2016.0,M,M,surfing,Unknown,Unknown
2016.10.10,Unprovoked,United States,Oregon,"Indian Beach, Ecola State Park, Clatsop County",Joseph Tanner,Wounds to upper thigh and lower leg,N,6022.0,29,10-10-2016,10.0,10.0,2016.0,M,M,surfing,Unknown,Unknown
2016.10.02,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",male,Cuts to dorsal surface of left foot,N,6021.0,21,02-10-2016,2.0,10.0,2016.0,M,M,surfing,Unknown,Unknown
2016.10.01,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",male,Minor injuries,N,6020.0,32,01-10-2016,1.0,10.0,2016.0,M,M,surfing,Unknown,Unknown
2016.09.26,Unprovoked,Australia,New South Wales,"Lighthouse Beach, Ballina",Cooper Allen,4 deep lacerations to thigh,N,6019.0,17,26-09-2016,26.0,9.0,2016.0,M,M,surfing,White Shark,3.5
2016.09.18.c,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",male,Minor injury to thigh,N,6018.0,16,18-09-2016,18.0,9.0,2016.0,M,M,surfing,Unknown,Unknown
2016.09.18.b,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",Chucky Luciano,Lacerations to hands,N,6017.0,36,18-09-2016,18.0,9.0,2016.0,M,M,surfing,Unknown,Unknown
2016.09.18.a,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",male,Lacerations to lower leg,N,6016.0,43,18-09-2016,18.0,9.0,2016.0,M,M,surfing,Unknown,Unknown
2016.09.17.b,Unprovoked,United States,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Yuma,"No injury, board bitten",N,6015.0,43,17-09-2016,17.0,9.0,2016.0,M,M,surfing,Unknown,Unknown
2016.09.17.a,Unprovoked,Australia,Victoria,Thirteenth Beach,Rory Angiolella,Struck by fin on chest & leg,N,6014.0,27,17-09-2016,17.0,9.0,2016.0,M,M,surfing,Unknown,Unknown
2016.09.15,Unprovoked,Australia,Victoria,Bells Beach,male,No injury: Knocked off board by shark,N,6013.0,27,16-09-2016,16.0,9.0,2016.0,M,M,surfing,Unknown,2.0
2016.09.15.R,Boat,Australia,Western Australia,Bunbury,Occupant: Ben Stratton,Shark rammed boat. No injury to occupant,N,6012.0,27,15-09-2016,15.0,9.0,2016.0,M,M,fishing,Unknown,Unknown
2016.09.11,Unprovoked,United States,Florida,"Ponte Vedra, St. Johns County",male,Minor injury to arm,N,6011.0,64,11-09-2016,11.0,9.0,2016.0,M,M,standing/wading,Shark,0.91
2016.09.07,Unprovoked,United States,Hawaii,"Makaha, Oahu",Lulu Bagnol,Severe lacerations to shoulder & forearm,N,6010.0,51,07-09-2016,7.0,9.0,2016.0,F,F,swimming,Tiger Shark,3.05
2016.09.06,Unprovoked,New Caledonia,North Province,Koumac,David Jewell,FATAL,Y,6009.0,50,06-09-2016,6.0,9.0,2016.0,M,M,boarding,Unknown,Unknown
2016.09.05.b,Unprovoked,United States,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Rylie Williams,Lacerations & punctures to lower right leg,N,6008.0,12,05-09-2016,5.0,9.0,2016.0,F,F,boarding,Unknown,Unknown
2016.09.05.a,Unprovoked,Australia,Western Australia,Injidup ,Fraser Penman,"No inury, board broken in half by shark",N,6007.0,27,05-09-2016,5.0,9.0,2016.0,M,M,surfing,Unknown,Unknown
2016.09.04,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",Austin Moore,Foot bitten,N,6006.0,9,04-09-2016,4.0,9.0,2016.0,M,M,boarding,Unknown,Unknown
2016.09.01,Unprovoked,United States,California,"Refugio State Beach, Santa Barbara County",Tyler McQuillen ,Two toes broken & lacerated,N,6005.0,22,01-09-2016,1.0,9.0,2016.0,M,M,fishing,White Shark,2.44
2016.09.00,Invalid,Mexico,Baja California,Guadalupe Island,,"No injury to divers, shark breached cage",Unknown,6004.0,27,16-09-2020,16.0,9.0,2020.0,Unknown,M,other,White Shark,Unknown
2016.08.29.b,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",Sam Cumiskey ,Lacerations to right foot,N,6003.0,25,29-08-2016,29.0,8.0,2016.0,M,M,surfing,Bull Shark,1.83
2016.08.29.a,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",male,Minor injury to ankle,N,6002.0,37,29-08-2016,29.0,8.0,2016.0,M,M,surfing,Unknown,Unknown
2016.08.27,Unprovoked,Reunion,Unknown,Boucan Canot,Laurent Chardard ,"Right arm severed, ankle severely bitten ",N,6001.0,20,27-08-2016,27.0,8.0,2016.0,M,M,surfing,Bull Shark,3.5
2016.08.25,Unprovoked,United States,Florida,"Ponte Vedra, St. Johns County",David Cassetty,Minor injury to ankle,N,6000.0,49,25-08-2016,25.0,8.0,2016.0,M,M,standing/wading,Unknown,Unknown
2016.08.07,Unprovoked,Bahamas,New Providence Island,Nassau,Johnny Stoch,Lacerations to left leg,N,5999.0,15,07-08-2016,7.0,8.0,2016.0,M,M,snorkeling,Unknown,Unknown
2016.08.06,Unprovoked,United States,Hawaii,Maui,Connor Baxter,"No inury, shark & board collided",N,5998.0,21,06-08-2016,6.0,8.0,2016.0,M,M,other,Tiger Shark,3.05
2016.08.04,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",Nolan Tyler,Big toe bitten,N,5997.0,22,04-08-2016,4.0,8.0,2016.0,M,M,surfing,Blacktip Shark,Unknown
2016.07.29,Unprovoked,Spain,Alicante Province,Arenales del Sol,male,Lacerations to right hand,N,5996.0,40,29-07-2016,29.0,7.0,2016.0,M,M,swimming,Blue Shark,Unknown
2016.07.28.R,Unprovoked,China,Hong Kong,"Sharp Peak, Sai Kung Peninsula, New Territories",Justus Franz,Lacerations to leg,N,5995.0,72,28-07-2016,28.0,7.0,2016.0,M,M,swimming,Unknown,Unknown
2016.07.28,Boat,Australia,Western Australia,Near Albany,Ian Watkins,"No injury, shark nudged kayak repeatedly",N,5994.0,27,28-07-2016,28.0,7.0,2016.0,M,M,kayaking,White Shark,Unknown
2016.07.27,Provoked,United States,Florida,"Florida Keys, Monroe County",Warren Sapp,Laceration to left forearm PROVOKED INCIDENT,N,5993.0,43,27-07-2016,27.0,7.0,2016.0,M,M,other,Nurse Shark,1.22
2016.07.26,Unprovoked,Australia,New South Wales,"Sharpes Beach, Ballina",Curran See & Harry Lake,"No injury. Leg rope severed, knocked off board by shark",N,5992.0,18,26-07-2016,26.0,7.0,2016.0,M,M,surfing,Unknown,Unknown
2016.07.24,Unprovoked,Japan,Kochi Prefecture,Irino Beach,male,Lacerations to left leg,N,5991.0,29,24-07-2016,24.0,7.0,2016.0,M,M,surfing,Unknown,Unknown
2016.07.23.b,Unprovoked,Australia,Tasmania,Clifton Beach,Zebulon Critchlow,Calf bumped but no injury,N,5990.0,36,23-07-2016,23.0,7.0,2016.0,M,M,surfing,Unknown,Unknown
2016.07.23.a,Unprovoked,Bahamas,Abaco Islands,Green Turtle Cay,Steve Cutbirth,Lacerations to face and right leg,N,5989.0,27,23-07-2016,23.0,7.0,2016.0,M,M,fishing,Bull Shark,1.83
2016.07.20,Provoked,Australia,Queensland,"20 k off The Spit, off the Gold Coast",Scott van Burck,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,5988.0,31,20-07-2016,20.0,7.0,2016.0,M,M,fishing,Reef Shark,1.0
2016.07.17,Boat,United States,Alabama,8 miles off Mobile,Occupant: Ben Raines,"No injury, shark bit trolling motor",N,5987.0,27,17-07-2016,17.0,7.0,2016.0,Unknown,M,other,Tiger Shark,3.05
2016.07.16.b,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",female,Minor injury to leg,N,5986.0,9,16-07-2016,16.0,7.0,2016.0,F,F,surfing,Unknown,Unknown
2016.07.16.a,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",female,Minor injury to toes,N,5985.0,11,16-07-2016,16.0,7.0,2016.0,F,F,unknown,Unknown,Unknown
2016.07.15.b,Unprovoked,United States,California,"Surfside, Orange County",Lee Frees,"No injury, board damaged",N,5984.0,61,15-07-2016,15.0,7.0,2016.0,M,M,boarding,White Shark,3.05
2016.07.15.a,Unprovoked,United States,South Carolina,"North Myrtle Beach, Horry County",male,Puncture wounds to foot,N,5983.0,27,15-07-2016,15.0,7.0,2016.0,M,M,swimming,Unknown,Unknown
2016.07.14.R,Unprovoked,Bahamas,West End,Tiger Beach,Michael Dornellas,Face bruised when partly blind shark collided with him,N,5982.0,27,14-07-2016,14.0,7.0,2016.0,M,M,diving,Lemon Shark,2.74
2016.07.08.R,Unprovoked,Spain,Canary Islands,"Las Teresitas, Tenerife",female,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,5981.0,10,08-07-2016,8.0,7.0,2016.0,F,F,standing/wading,Angel Shark,Unknown
2016.07.08,Boat,United States,California,"Capitola, Santa Cruz County",Mark Davis,"No injury. Hull bitten, tooth fragment recovered",N,5980.0,27,08-07-2016,8.0,7.0,2016.0,M,M,other,White Shark,Unknown
2016.07.07.b,Provoked,United States,Massachusetts,"Off Gloucester, Essec County",Roger Brissom,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,5979.0,59,07-07-2016,7.0,7.0,2016.0,M,M,fishing,Dogfish Shark,Unknown
2016.07.07.a,Boat,United States,California,"Off Palos Verdes peninsula, Los Angeles County",24' boat Shark Tagger Occupant Keith Poe,"No injury. Hull bitten, tooth fragment recovered",N,5978.0,27,07-07-2016,7.0,7.0,2016.0,M,M,other,White Shark,Unknown
2016.07.06,Unprovoked,United States,Florida,"Melbourne Beach, Brevard County",female,"Buttocks, thigh, left hand & wrist injured",N,5977.0,42,06-07-2016,6.0,7.0,2016.0,F,F,swimming,Unknown,Unknown
2016.07.04,Provoked,Australia,Queensland,Palm Cove ,Nathan Oliver,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,5976.0,34,04-07-2016,4.0,7.0,2016.0,M,M,fishing,Tawny Nurse Shark,Unknown
2016.06.27,Unprovoked,United States,South Carolina,Sullivan's Island,male,Minor injury,N,5975.0,35,27-06-2016,27.0,6.0,2016.0,M,M,unknown,Shark,0.91
2016.06.25,Unprovoked,United States,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",male,Foot injured,N,5974.0,11,25-06-2016,25.0,6.0,2016.0,M,M,surfing,Unknown,Unknown
2016.06.24,Unprovoked,Columbia,Isla Provedencia,Unknown,Arturo Velez,Severe bite to right hand,N,5973.0,59,24-06-2016,24.0,6.0,2016.0,M,M,diving,Caribbean Reef Shark,1.52
2016.06.23,Unprovoked,South Africa,Western Cape Province,Ryspunt,Rene Nel,Injuries to left leg & right hand,N,5972.0,43,23-06-2016,23.0,6.0,2016.0,M,M,fishing,White Shark,Unknown
2016.06.21.b,Unprovoked,United States,South Carolina,"North Myrtle Beach, Horry County",Jeff Schott,Lacerations and punctures to foot,N,5971.0,42,21-06-2016,21.0,6.0,2016.0,M,M,other,Shark,0.91
2016.06.21.a,Unprovoked,United States,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",male,Injuries to right calf,N,5970.0,27,21-06-2016,21.0,6.0,2016.0,M,M,standing/wading,Unknown,Unknown
2016.06.15.b,Unprovoked,United States,Hawaii,"Kalapaki Beach, Kauai",male,Single puncture wound to arm,N,5969.0,27,15-06-2016,15.0,6.0,2016.0,M,M,surfing,Shark,0.91
2016.06.15.a,Provoked,Australia,Western Australia,Coral Bay,Brad Vale,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,5968.0,19,15-06-2016,15.0,6.0,2016.0,M,M,fishing,Shark,1.52
2016.06.14,Unprovoked,United States,Texas,"Pirates Beach, Galveston",Marin Alice Melton,Injury to lower leg,N,5967.0,6,14-06-2016,14.0,6.0,2016.0,F,F,other,Shark,0.91
2016.06.11,Unprovoked,United States,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Dillon Bowen,Laceration to wrist,N,5966.0,19,11-06-2016,11.0,6.0,2016.0,M,M,standing/wading,Shark,0.91
2016.06.07,Invalid,United States,South Carolina,"Folly Beach, Charleston County",Jack O'Neill,"No injury, board damaged",N,5965.0,27,07-06-2016,7.0,6.0,2016.0,M,M,surfing,Shark,2.44
2016.06.05.b,Unprovoked,United States,Florida,"Flagler Beach, Flagler County",male,Leg bitten,N,5964.0,64,05-06-2016,5.0,6.0,2016.0,M,M,swimming,Unknown,Unknown
